CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG537265,12/11/2023 03:51:00 PM,0000X E GRAND AVE,2022,NARCOTICS,POSSESS - COCAINE,DEPARTMENT STORE,N,N,1834,42,18,1176796,1903917,41.891694878,-87.626155832,"(41.891694878, -87.626155832)"
JH177646,03/03/2024 02:10:00 AM,046XX W GRACE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,1731,45,26,1144776,1924860,41.949828538,-87.743222089,"(41.949828538, -87.743222089)"
JG470841,10/20/2023 02:50:00 AM,027XX W FRANCIS PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1431,1,08B,1158104,1913759,41.919104365,-87.694533773,"(41.919104365, -87.694533773)"
JG450352,09/26/2023 11:20:00 AM,044XX N HERMITAGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1912,47,14,1163995,1929607,41.962469679,-87.672440657,"(41.962469679, -87.672440657)"
JH142561,02/06/2024 03:30:00 PM,021XX E 83RD ST,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,DAY CARE CENTER,N,N,412,7,17,1192079,1850366,41.744388782,-87.571772512,"(41.744388782, -87.571772512)"
JH106513,01/05/2024 07:00:00 PM,116XX W IRVING PARK RD,0810,THEFT,OVER $500,GOVERNMENT BUILDING / PROPERTY,N,N,1654,41,06,1098012,1926026,41.953783081,-87.915105451,"(41.953783081, -87.915105451)"
JH215361,04/06/2024 08:30:00 PM,071XX W NORTH AVE,0560,ASSAULT,SIMPLE,RESTAURANT,N,N,2513,29,08A,1128656,1909849,41.908925763,-87.802819807,"(41.908925763, -87.802819807)"
JH208913,03/31/2024 08:00:00 PM,093XX S CLYDE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,N,Y,413,7,07,1191806,1843492,41.725532511,-87.572995308,"(41.725532511, -87.572995308)"
JH183542,03/11/2024 12:55:00 PM,021XX N PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2525,35,08B,1149371,1913750,41.91925369,-87.726620278,"(41.91925369, -87.726620278)"
JH176822,11/07/2023 01:00:00 PM,017XX W GREENLEAF AVE,0810,THEFT,OVER $500,APARTMENT,N,N,2423,49,06,1163526,1947001,42.010209298,-87.673672422,"(42.010209298, -87.673672422)"
JH267476,05/17/2024 03:00:00 PM,052XX S PRAIRIE AVE,0560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,231,3,08A,1178928,1870425,41.799742051,-87.619348653,"(41.799742051, -87.619348653)"
JH294282,06/04/2024 01:00:00 PM,025XX W LYNDALE ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,N,Y,1431,1,08B,1158768,1914980,41.922441281,-87.692060608,"(41.922441281, -87.692060608)"
JG513446,11/22/2023 02:55:00 AM,079XX S DR MARTIN LUTHER KING JR DR,0320,ROBBERY,STRONG ARM - NO WEAPON,APARTMENT,N,N,624,6,03,1180279,1852393,41.750229541,-87.614946609,"(41.750229541, -87.614946609)"
JG518556,11/25/2023 10:30:00 PM,001XX W 68TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,722,6,14,1176673,1859896,41.770900494,-87.627935073,"(41.770900494, -87.627935073)"
JH279608,05/26/2024 12:00:00 PM,097XX S COMMERCIAL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,431,10,08A,1197826,1841036,41.718645009,-87.551026002,"(41.718645009, -87.551026002)"
JG532286,11/22/2023 12:00:00 AM,053XX W ARGYLE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1623,45,11,1139944,1932740,41.971541886,-87.760790642,"(41.971541886, -87.760790642)"
JG471025,10/17/2023 03:15:00 PM,003XX W WEBSTER AVE,0820,THEFT,$500 AND UNDER,SCHOOL - PRIVATE BUILDING,N,N,1814,43,06,1173608,1914927,41.921978375,-87.6375358,"(41.921978375, -87.6375358)"
JH224477,04/13/2024 04:00:00 PM,089XX S RACINE AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2222,21,06,1169892,1845457,41.731427876,-87.653210024,"(41.731427876, -87.653210024)"
JH203470,03/20/2024 12:24:00 PM,0000X S LA SALLE ST,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,BANK,N,N,122,42,11,1175144,1900012,41.881016537,-87.632339962,"(41.881016537, -87.632339962)"
JG526222,11/26/2023 12:00:00 PM,021XX W DEVON AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,STREET,N,N,2412,50,11,1160697,1942466,41.997824469,-87.684207819,"(41.997824469, -87.684207819)"
JH274290,05/03/2024 10:00:00 AM,040XX S LAKE PARK AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,214,4,11,1183624,1878499,41.821789385,-87.601875318,"(41.821789385, -87.601875318)"
JG544384,12/17/2023 11:12:00 AM,071XX N HARLEM AVE,0460,BATTERY,SIMPLE,PARK PROPERTY,N,N,1611,41,08B,1127385,1946721,42.010128128,-87.806656451,"(42.010128128, -87.806656451)"
JH137135,01/10/2024 09:44:00 PM,084XX S HOLLAND RD,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,622,21,06,1175662,1848962,41.740918989,-87.631967753,"(41.740918989, -87.631967753)"
JG513968,11/22/2023 01:40:00 PM,038XX W LEXINGTON ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,Y,N,1133,24,18,1150927,1896423,41.871676293,-87.721357382,"(41.871676293, -87.721357382)"
JG537886,12/12/2023 04:00:00 AM,002XX W 63RD ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,N,N,711,20,03,1175827,1863196,41.779975054,-87.630937377,"(41.779975054, -87.630937377)"
JG491002,11/04/2023 09:40:00 AM,051XX N SIMONDS DR,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,2024,48,06,1170662,1934725,41.976369883,-87.647778294,"(41.976369883, -87.647778294)"
JH223851,04/13/2024 05:12:00 PM,012XX N ARTESIAN AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,ALLEY,Y,N,1423,26,26,1159851,1908119,41.903591885,-87.688270928,"(41.903591885, -87.688270928)"
JH182006,03/09/2024 11:15:00 PM,002XX E WALTON PL,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,HOTEL / MOTEL,Y,N,1833,2,15,1178045,1906973,41.900052344,-87.621475761,"(41.900052344, -87.621475761)"
JG422227,09/12/2023 04:15:00 PM,081XX S PEORIA ST,0810,THEFT,OVER $500,APARTMENT,N,N,613,17,06,1171722,1850939,41.746431352,-87.646345733,"(41.746431352, -87.646345733)"
JG552331,12/23/2023 03:45:00 PM,002XX N WALLER AVE,0560,ASSAULT,SIMPLE,STREET,N,N,1512,29,08A,1138113,1901034,41.884570549,-87.768291872,"(41.884570549, -87.768291872)"
JH284066,05/29/2024 06:07:00 PM,062XX S HAMLIN AVE,0440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",SCHOOL - PUBLIC GROUNDS,N,N,823,23,08B,1152108,1863143,41.780328363,-87.717896689,"(41.780328363, -87.717896689)"
JH156232,02/17/2024 07:20:00 PM,047XX N LINCOLN AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,VEHICLE - COMMERCIAL,N,N,1911,47,11,1159731,1931532,41.967841153,-87.688064408,"(41.967841153, -87.688064408)"
JH199146,03/23/2024 06:40:00 PM,025XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,N,N,133,4,08B,1177647,1887564,41.846801978,-87.623527134,"(41.846801978, -87.623527134)"
JG444423,09/29/2023 11:30:00 PM,014XX W DIVISION ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,GAS STATION,N,N,1433,1,04B,1166750,1908103,41.903402827,-87.662929863,"(41.903402827, -87.662929863)"
JH165268,02/25/2024 12:52:00 PM,007XX N MICHIGAN AVE,0810,THEFT,OVER $500,SMALL RETAIL STORE,N,N,1833,2,06,1177293,1905615,41.896343018,-87.624279065,"(41.896343018, -87.624279065)"
JG494099,11/06/2023 04:53:00 PM,068XX S NORMAL BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,722,6,14,1174135,1859319,41.769373884,-87.63725551,"(41.769373884, -87.63725551)"
JG476694,10/24/2023 02:30:00 PM,091XX S MACKINAW AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,N,N,424,10,03,1200011,1845110,41.729769625,-87.542886284,"(41.729769625, -87.542886284)"
JG539338,12/03/2023 09:22:00 AM,012XX W 63RD ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,SMALL RETAIL STORE,N,N,724,16,11,1169280,1863008,41.779603401,-87.654945018,"(41.779603401, -87.654945018)"
JH111116,01/10/2024 01:27:00 PM,032XX N HALSTED ST,0460,BATTERY,SIMPLE,APARTMENT,N,N,1924,44,08B,1170355,1921727,41.94070969,-87.649288806,"(41.94070969, -87.649288806)"
JH275892,05/23/2024 12:00:00 PM,018XX W 80TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SCHOOL - PRIVATE GROUNDS,Y,N,611,17,15,1165563,1851632,41.748465764,-87.668894176,"(41.748465764, -87.668894176)"
JH155239,02/16/2024 10:29:00 PM,014XX W ESTES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,NURSING / RETIREMENT HOME,N,Y,2423,49,08B,1165366,1947502,42.011544945,-87.666888079,"(42.011544945, -87.666888079)"
JH187996,03/14/2024 06:49:00 PM,041XX W BYRON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,1731,30,14,1148011,1925601,41.951800165,-87.731311368,"(41.951800165, -87.731311368)"
JG481946,10/28/2023 01:35:00 AM,048XX S COTTAGE GROVE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,223,4,14,1182406,1873099,41.806999742,-87.606511089,"(41.806999742, -87.606511089)"
JH194232,03/19/2024 08:00:00 PM,011XX N WELLS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1823,27,14,1174502,1908102,41.903230312,-87.634455361,"(41.903230312, -87.634455361)"
JH197628,03/21/2024 11:00:00 PM,042XX N MULLIGAN AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1624,38,06,1133258,1927643,41.957675191,-87.785496188,"(41.957675191, -87.785496188)"
JH185877,03/13/2024 12:00:00 AM,024XX W BALMORAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2011,40,08B,1159255,1935785,41.979521411,-87.68969713,"(41.979521411, -87.68969713)"
