CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG482495,10/28/2023 06:30:00 PM,041XX S INDIANA AVE,0880,THEFT,PURSE-SNATCHING,SIDEWALK,N,N,213,3,06,1178283,1877700,41.819719964,-87.621493041,"(41.819719964, -87.621493041)"
JH216031,04/07/2024 01:56:00 PM,013XX N MILWAUKEE AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,1424,1,06,1164309,1909321,41.906797102,-87.671861659,"(41.906797102, -87.671861659)"
JH164356,10/10/2023 08:23:00 PM,064XX S BELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,825,16,08B,1162510,1861977,41.776918077,-87.679793478,"(41.776918077, -87.679793478)"
JH197885,03/22/2024 03:30:00 PM,016XX W MORSE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,2431,49,06,1164302,1946138,42.007824765,-87.670841822,"(42.007824765, -87.670841822)"
JH157138,02/18/2024 07:18:00 PM,098XX S MARYLAND AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,Y,Y,511,8,04A,1183625,1840085,41.716377684,-87.603068161,"(41.716377684, -87.603068161)"
JH215608,04/07/2024 03:40:00 AM,004XX N WABASH AVE,1330,CRIMINAL TRESPASS,TO LAND,HOTEL / MOTEL,Y,N,1834,42,26,1176592,1902931,41.888993854,-87.626934833,"(41.888993854, -87.626934833)"
JG464887,10/15/2023 04:30:00 PM,008XX N MICHIGAN AVE,0810,THEFT,OVER $500,RESTAURANT,N,N,1833,2,06,1177330,1906499,41.898767916,-87.624116333,"(41.898767916, -87.624116333)"
JG464780,10/15/2023 03:30:00 PM,065XX S WESTERN AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESTAURANT,N,N,832,16,04B,1161496,1861276,41.775015522,-87.683530209,"(41.775015522, -87.683530209)"
JG447398,09/30/2023 04:30:00 PM,026XX W WILCOX ST,0820,THEFT,$500 AND UNDER,VEHICLE - DELIVERY TRUCK,N,N,1125,27,06,1158694,1899254,41.879289336,-87.692763958,"(41.879289336, -87.692763958)"
JG444997,09/30/2023 11:40:00 AM,0000X E ILLINOIS ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,STREET,Y,N,1834,42,18,1176744,1903627,41.890900279,-87.626355577,"(41.890900279, -87.626355577)"
